ID,Language,Type,Title,Slug,Priority,Translation Status,Categories
568,uk,post,Технологія біофлокуляції: практичне застосування,tehnologiya-bioflokulyatsiyi-praktichne-zastosuvannya,LOW,Missing translation,"Optional, биофлок, Статьи"
1906,uk,post,Інтенсивна ставкова аквакультура,intensivna-stavkova-akvakultura,LOW,Missing translation,"Optional, Статьи"
1923,uk,post,Аквакультура в Ірані,akvakultura-v-irani,LOW,Missing translation,"Optional, іран, ваннамей"
2022,ru,post,Розчинений кисень (DO),rozchinenij-kisen-do,LOW,Missing translation,"dissolved oxygen, DO, Optional"
2120,uk,post,"Минь - річкова ""тріска""",min-richkova-triska,LOW,Missing translation,"lota lota, Optional, минь"
2286,uk,post,Шримс звичайний або піщана креветка,shrims-zvichajnij-abo-pishhana-krevetka,LOW,Missing translation,"Optional, креветка піщана, Новости"
5830,uk,post,"Минь - річкова ""тріска""",myn-richkova-triska,LOW,Missing translation,"РАС, Риба, Статті"
5832,ru,post,Розчинений кисень (DO),rozchynenyj-kysen-do,LOW,Missing translation,Риба
5833,uk,post,Аквакультура в Ірані,akvakultura-v-irani,LOW,Missing translation,"іран, ваннамей, голестан"
5834,uk,post,Інтенсивна ставкова аквакультура,intensyvna-stavkova-akvakultura,LOW,Missing translation,Статті
5842,uk,post,Технологія біофлокуляції: практичне застосування,tehnologiya-bioflokulyatsiyi-praktychne-zastosuvannya,LOW,Missing translation,"биофлок, Статті, технологія біофлокуляції"
5843,uk,post,Міні ферма по вирощуванню креветок,mini-ferma-po-vyroshhuvannyu-krevetok,LOW,Missing translation,"Необов'язково, Проекти"
5845,uk,post,"Чарівний морський черв'як ""нереїс""",charivnyj-morskyj-cherv-yak-nereyis,LOW,Missing translation,Статті
5846,uk,post,Гігантська прісноводна креветка,gigantska-prisnovodna-krevetka,LOW,Missing translation,"гігантська креветка, креветки, макробрахіум розенбергі"
5964,en,post,Mini farm for growing shrimp,mini-farm-for-growing-shrimp,LOW,Missing translation,"Optional, Projects"
2293,ru,post,Вирощування морських водоростей,viroshhuvannya-morskih-vodorostej,LOW,Missing translation,"Без категорії, Необов'язково"
2343,uk,post,Засіб для очищення води ReVac,zasib-dlya-ochishhennya-vodi-revac,LOW,Missing translation,"Optional, бактерії, Бактеріальні засоби"
2465,uk,post,Перспективи кефалівництва в Україні,perspektivi-kefalivnitstva-v-ukrayini,LOW,Missing translation,"Optional, кефаль, Рыба"
2897,uk,post,Вирощування креветки ваннамей в умовах низької соленості води,viroshhuvannya-krevetki-vannamej-v-umovah-nizkoyi-solenosti-vodi,LOW,Missing translation,"вирощування креветки, креветка ваннамей, Необязательный"
5059,uk,post,Вирощування креветки ваннамей в умовах низької соленості води,vyroshhuvannya-krevetky-vannamej-v-umovah-nyzkoyi-solenosti-vody,LOW,Missing translation,"вирощування креветки, креветка ваннамей, Необов'язково"
5771,uk,post,Перспективи кефалівництва в Україні,perspektyvy-kefalivnytstva-v-ukrayini,LOW,Missing translation,"Риба, Статті"
5827,uk,post,Шримс звичайний або піщана креветка,shryms-zvychajnyj-abo-pishhana-krevetka,LOW,Missing translation,"Новини, Статті"
5828,uk,post,Засіб для очищення води ReVac,zasib-dlya-ochyshhennya-vody-revac,LOW,Missing translation,"бактерії, Бактеріальні засоби, засіб для очищення води"
6988,uk,post,Форелівництво в Україні,forelivnytstvo-v-ukrayini,LOW,Missing translation,"Необов'язково, Риба, Статті"
7006,uk,post,"Вирощування кларієвого сома в Україні: перспективи, витрати, ринки збуту",klariy-v-ukraini-perspectiva,LOW,Missing translation,"Необов'язково, Новини, Статті"
7009,uk,post,Використання хлораміну-Т в аквакультурі,chloramin-usage-aquaculture,LOW,Missing translation,"chloramine-T, аквахлор, Бактеріальні засоби"
7020,uk,post,"Сезонне вирощування тиляпії на Півдні України: Технологія, Продуктивність та Економічний Аналіз",seasonal-tilapia-farming-south-of-ukraine,LOW,Missing translation,"HORECA (ХОРЕКА), Інтенсивне ставкове вирощування, Аерація ставків"
7041,uk,post,"HFTS: Технологія, що може змінити правила гри для української аквакультури",hfts-technology-can-be-a-game-changer,LOW,Missing translation,"HFTS, RAS, імпортозаміщення"
7064,en,post,Write for us sponsored posts,write-for-us-sponsored-posts,LOW,Missing translation,"blogs, Необов'язково"
